Department,Graduating year,Level of study,Average salary,Median salary,Number of graduates paid in £
All departments,2017/18,PG,40789,34000,550
All departments,2017/18,UG,36609,33000,335
All departments,2018/19,PG,41123,35000,690
All departments,2018/19,UG,38442,33500,325
All departments,All,All,39773,34000,1900
All departments,2017/18,All,39211,33000,885
All departments,2018/19,All,40264,35000,1015
All departments,All,PG,40975,35000,1240
All departments,All,UG,37513,33000,660
Accounting,All,PG,40937,39000,60
Accounting,All,UG,40057,35000,60
Anthropology,All,PG,31176,30000,15
Anthropology,All,UG,28399,27000,30
Economic History,All,PG,39394,35000,25
Economic History,All,UG,38756,35500,40
Economics,All,PG,54262,45500,40
Economics,All,UG,44786,40000,110
European Institute,All,PG,33364,31500,45
Finance,All,PG,57302,50000,95
Finance,All,UG,,,
Gender Studies,All,PG,29267,27000,35
Geography & Environment,All,PG,33588,33000,70
Geography & Environment,All,UG,31920,28000,45
Government,All,PG,34369,30000,75
Government,All,UG,32399,28930,65
Health Policy,All,PG,51365,42000,50
International Development,All,PG,34382,30000,65
International History,All,PG,33128,32000,40
International History,All,UG,32912,30000,30
International Relations,All,PG,40523,32500,55
International Relations,All,UG,29364,29000,20
Law,All,PG,45110,40000,65
Law,All,UG,39458,44500,60
Management,All,PG,42123,35000,160
Management,All,UG,38061,33500,35
Mathematics,All,PG,39342,38000,20
Mathematics,All,UG,41222,35500,50
Media & Communications,All,PG,31526,30000,60
Methodology,All,PG,,,
"Philosophy, Logic and Scientific Method",All,PG,33529,32000,15
"Philosophy, Logic and Scientific Method",All,UG,39283,33375,30
Psychological and Behavioural Science,All,PG,40584,33000,45
School of Public Policy,All,PG,62806,68000,50
Social Policy,All,PG,34873,30000,70
Social Policy,All,UG,28682,28000,20
Sociology,All,PG,37671,29550,65
Sociology,All,UG,26125,25000,10
Statistics,All,PG,43112,38000,25
Statistics,All,UG,39090,35250,55
Accounting,2017/18,PG,41000,36500,25
Accounting,2017/18,UG,39882,38000,40
Anthropology,2017/18,PG,,,
Anthropology,2017/18,UG,28583,26000,15
Economic History,2017/18,PG,39125,37500,10
Economic History,2017/18,UG,38168,35500,20
Economics,2017/18,PG,55125,48000,15
Economics,2017/18,UG,42691,40000,45
European Institute,2017/18,PG,36188,32000,25
Finance,2017/18,PG,61067,50000,45
Gender Studies,2017/18,PG,29281,25250,15
Geography & Environment,2017/18,PG,34177,33000,30
Geography & Environment,2017/18,UG,31652,30000,25
Government,2017/18,PG,32102,30000,45
Government,2017/18,UG,32556,29000,30
Health Policy,2017/18,PG,49190,43000,20
International Development,2017/18,PG,32989,30850,30
International History,2017/18,PG,30684,30000,20
International History,2017/18,UG,36111,30000,15
International Relations,2017/18,PG,36941,30000,25
International Relations,2017/18,UG,29811,30068,15
Law,2017/18,PG,38867,32000,25
Law,2017/18,UG,39971,43000,35
Management,2017/18,PG,44410,36000,60
Management,2017/18,UG,36059,33000,15
Mathematics,2017/18,PG,,,
Mathematics,2017/18,UG,37938,32000,25
Media & Communications,2017/18,PG,32196,30000,30
Methodology,2017/18,PG,,,
"Philosophy, Logic and Scientific Method",2017/18,PG,,,
"Philosophy, Logic and Scientific Method",2017/18,UG,34700,29500,10
Psychological and Behavioural Science,2017/18,PG,35591,32000,20
School of Public Policy,2017/18,PG,59478,60000,25
Social Policy,2017/18,PG,33311,29000,30
Social Policy,2017/18,UG,30868,29000,10
Sociology,2017/18,PG,43760,32100,30
Sociology,2017/18,UG,,,
Statistics,2017/18,PG,48444,45500,10
Statistics,2017/18,UG,39035,35000,25
Accounting,2018/19,PG,40882,40000,30
Accounting,2018/19,UG,40348,35000,25
Anthropology,2018/19,PG,31273,30000,10
Anthropology,2018/19,UG,28176,27600,15
